case_id,source_excel_row,current_A,current_density_A_cm2,stack_voltage_V,cell_voltage_from_stack_V,stack_power_W,stack_resistance_mOhm,area_specific_resistance_ohm_cm2,cell_voltage_bar_max_V,cell_voltage_bar_min_V,cell_voltage_bar_avg_V,anode_stoich,cathode_stoich,anode_RH,cathode_RH,anode_inlet_temp_C,cathode_inlet_temp_C,cathode_outlet_temp_C,coolant_inlet_temp_C,coolant_outlet_temp_C,stack_temperature_est_C,anode_pressure_kPa_g,anode_pressure_kPa_abs,anode_outlet_pressure_kPa_g,anode_deltaP_kPa,cathode_pressure_kPa_g,cathode_pressure_kPa_abs,cathode_outlet_pressure_kPa_g,cathode_deltaP_kPa,pH2O_anIn_kPa,pH2_anIn_kPa,pH2O_caIn_kPa,xH2O_caIn,xO2_caIn,pO2_caIn_kPa,anode_flow_nlpm,cathode_flow_nlpm,coolant_flow_L_min,use_for_fit,weight,source_note
bench_j0p10,3,38.0,0.1,12.8265,0.80165625,487.219,4.9,0.11637500000000002,0.8098,0.7934,0.8025,5.0,5.0,0.3,0.8,58.2,58.9,56.0,61.6,60.6,61.1,47.8,149.125,43.4,4.399999999999999,40.0,141.325,32.5,7.5,5.481738004280149,143.64326199571985,15.104191449523904,0.10687558075021338,0.18710956583283028,26.443259391324737,21.5,49.7,5.5,1,1.0,no_EGR_bench_steady_full_current_range
bench_j0p20,4,76.0,0.2,12.3622,0.7726375,939.388,4.9,0.11637500000000002,0.7828,0.7613,0.7739,3.0,3.6,0.3,0.6,60.3,61.2,62.3,63.2,64.6,63.9,66.7,168.025,60.9,5.800000000000004,54.9,156.225,44.6,10.299999999999997,6.044306830597993,161.980693169402,12.600125546750872,0.08065370809250039,0.19260304815462115,30.089411197955688,25.2,71.8,6.0,1,1.0,no_EGR_bench_steady_full_current_range
bench_j0p30,5,114.0,0.3,12.0071,0.75044375,1368.722,4.9,0.11637500000000002,0.7629,0.7381,0.7525,2.7,3.0,0.3,0.6,61.4,62.3,64.4,64.4,66.3,65.35,80.0,181.325,73.5,6.5,60.0,161.325,46.1,13.899999999999999,6.358132772626142,174.96686722737385,13.250251218783676,0.08213389876822363,0.19229294820805715,31.021659869664816,34.3,90.2,6.0,1,1.0,no_EGR_bench_steady_full_current_range
bench_j0p40,6,152.0,0.4,11.7415,0.73384375,1784.551,4.9,0.11637500000000002,0.7482,0.7202,0.7365,2.5,2.4,0.3,0.6,64.1,63.8,67.5,65.9,69.3,67.6,90.1,191.425,82.7,7.3999999999999915,70.1,171.425,56.2,13.899999999999991,7.187848740616175,184.23715125938384,14.182666876425863,0.08273394706971482,0.19216723808889474,32.942268789388784,42.3,96.6,6.0,1,1.0,no_EGR_bench_steady_full_current_range
bench_j0p60,7,228.0,0.6,11.3638,0.7102375,2590.7939,4.8,0.11399999999999999,0.7283,0.6961,0.7147,2.1,2.0,0.3,0.6,69.9,68.6,73.7,70.3,75.5,72.9,109.6,210.925,103.2,6.3999999999999915,90.0,191.325,73.5,16.5,9.285872401381388,201.63912759861861,17.550709284426592,0.09173244105279808,0.19028205359943878,36.40571390491262,45.6,120.4,6.0,1,1.0,no_EGR_bench_steady_full_current_range
bench_j0p70,8,266.0,0.7,11.2188,0.701175,2984.064,4.8,0.11399999999999999,0.7205,0.6872,0.7064,1.7,1.9,0.3,0.6,73.6,72.2,77.1,73.2,79.2,76.2,121.0,222.325,114.2,6.799999999999997,100.0,201.325,82.0,18.0,10.878784728348881,211.4462152716511,20.50169413381247,0.10183382160095603,0.1881658143745997,37.88248257896628,50.9,133.1,6.0,1,1.0,no_EGR_bench_steady_full_current_range
bench_j0p90,9,342.0,0.9,10.9221,0.68263125,3735.2061,4.8,0.11399999999999999,0.7044,0.6695,0.6896,1.5,1.8,0.3,0.6,75.6,74.2,80.5,74.5,82.8,78.65,139.4,240.72500000000002,132.9,6.5,120.0,221.325,98.9,21.099999999999994,11.832081632427313,228.89291836757272,22.315386742707734,0.10082632663597757,0.1883768845697627,41.692513977402726,57.5,163.1,6.0,1,1.0,no_EGR_bench_steady_full_current_range
bench_j1p10,10,418.0,1.1,10.6566,0.6660375,4454.2861,4.8,0.11399999999999999,0.6902,0.6545,0.6746,1.5,1.8,0.3,0.6,75.6,74.5,81.8,75.2,83.8,79.5,159.9,261.225,152.9,7.0,140.0,241.325,114.9,25.099999999999994,11.832081632427313,249.39291836757272,22.59879960021025,0.09364466839411685,0.1898814419714325,45.823138983755946,71.0,199.4,6.5,1,1.0,no_EGR_bench_steady_full_current_range
bench_j1p30,11,494.0,1.3,10.35,0.646875,5112.814,4.9,0.11637500000000002,0.675,0.6352,0.6572,1.5,1.8,0.3,0.5,75.2,74.3,82.6,75.9,85.0,80.45,169.9,271.225,162.6,7.300000000000011,150.0,251.325,119.9,30.099999999999994,11.635976290425111,259.5890237095749,18.674601521595385,0.07430459175010598,0.1939331880283528,48.740258481225766,82.8,235.1,7.5,1,1.0,no_EGR_bench_steady_full_current_range
bench_j1p50,12,570.0,1.5,9.9837,0.62398125,5690.5889,4.9,0.11637500000000002,0.6573,0.6124,0.636,1.5,1.8,0.3,0.45,74.6,75.1,83.1,75.8,85.4,80.6,170.2,271.525,161.8,8.399999999999977,149.9,251.22500000000002,112.5,37.400000000000006,11.346972103559297,260.17802789644065,17.381072198424068,0.06918528091720197,0.19500568364784618,48.990302874430164,96.0,271.6,9.1,1,1.0,no_EGR_bench_steady_full_current_range
bench_j1p70,13,646.0,1.7,9.6312,0.60195,6221.71,4.9,0.11637500000000002,0.641,0.5907,0.6157,1.5,1.8,0.3,0.4,75.1,75.1,83.0,75.9,85.4,80.65,170.1,271.425,161.0,9.099999999999994,150.1,251.425,104.4,45.69999999999999,11.587381465616044,259.837618534384,15.449841954154728,0.061449107901579904,0.19662641189461902,49.43679561060459,108.9,308.8,10.0,1,1.0,no_EGR_bench_steady_full_current_range
bench_j1p80,14,684.0,1.8,9.4429,0.59018125,6458.9629,4.9,0.11637500000000002,0.6323,0.5786,0.6048,1.5,1.8,0.3,0.4,75.3,75.3,83.2,75.7,85.0,80.35,170.1,271.425,160.8,9.299999999999983,149.9,251.22500000000002,99.9,50.0,11.684743231750193,259.7402567682498,15.579657642333594,0.06201475825389031,0.19650790814580996,49.36769922393111,114.9,326.2,11.1,1,1.0,no_EGR_bench_steady_full_current_range
bench_j1p90,15,722.0,1.9,9.2617,0.57885625,6686.895,4.9,0.11637500000000002,0.6241,0.5671,0.5945,1.5,1.8,0.3,0.4,75.2,75.6,83.4,75.8,85.2,80.5,169.8,271.125,160.2,9.600000000000023,150.0,251.325,94.7,55.3,11.635976290425111,259.4890237095749,15.776108843236418,0.0627717451237896,0.19634931939656608,49.34749269734197,121.9,344.4,11.5,1,1.0,no_EGR_bench_steady_full_current_range
