model,flow_slpm,use_level,quality_label,dry_gain_direction_ok,wet_loss_direction_ok,transfer_limited_by_need_or_supply,dry_out_omega_meas_kgpkg,dry_out_omega_sim_kgpkg,dry_out_omega_err_kgpkg,dry_out_RH_meas,dry_out_RH_sim,dry_out_RH_err,dry_out_dewpoint_meas_C,dry_out_dewpoint_sim_C,dry_out_dewpoint_err_C,wet_out_omega_meas_kgpkg,wet_out_omega_sim_kgpkg,wet_out_omega_err_kgpkg,wet_out_RH_meas,wet_out_RH_sim,wet_out_RH_err,wet_out_dewpoint_meas_C,wet_out_dewpoint_sim_C,wet_out_dewpoint_err_C,water_transfer_meas_kg_s,water_transfer_sim_kg_s,water_transfer_err_kg_s,dry_side_gain_meas_g_s,dry_side_gain_sim_g_s,wet_side_loss_meas_g_s,wet_side_loss_sim_g_s,dry_dp_meas_kPa,dry_dp_sim_kPa,dry_dp_err_kPa,wet_dp_meas_kPa,wet_dp_sim_kPa,wet_dp_err_kPa,dry_sensible_heat_W,wet_sensible_heat_W,latent_heat_W
GZS120,1000,dry_priority_only,low_flow|water_balance_risk,1,1,1,0.0707303001651057,0.0633179421782368,-0.0074123579868689,0.896,0.585384817097251,-0.310615182902749,48.7015769455722,46.5463371019532,-2.155239843619,0.0690257546915054,0.0584729596252961,-0.0105527950662093,0.971,0.549677007501376,-0.421322992498624,47.1204261320901,43.9649785154782,-3.15544761661187,0.00119901000177569,0.00105456292198267,-0.000144447079793022,1.19901000177569,1.05456292198267,0.869003418754352,1.05456292198267,3.1,3.74998523011698,0.649985230116975,3.7,4.51744644207746,0.817446442077462,38.8367645565259,-34.8837354434739,2562.58790041788
GZS120,2049,dual_side_fit_candidate,low_flow,1,1,1,0.0677816210861983,0.0446845640238789,-0.0230970570623194,0.914,0.395846172841543,-0.518153827158457,51.3690897107301,43.4736716728443,-7.89541803788583,0.0775909691976612,0.0948872629803548,0.0172962937826936,0.97,0.922564665982149,-0.0474353340178512,51.9798081042217,55.3812871128163,3.40147900859461,0.00244002165271905,0.00151558222775282,-0.000924439424966226,2.44002165271905,1.51558222775282,2.12822502466716,1.51558222775282,3.8,5.67982674924954,1.87982674924954,5.6,6.84224378644108,1.24224378644108,290.748660264935,-269.671105195973,3682.86481343936
GZS120,3000,dual_side_fit_candidate,ok,1,1,1,0.0685061484725605,0.0415503808904939,-0.0269557675820666,0.873,0.382347844255621,-0.490652155744379,53.1912305978146,43.6292004502742,-9.56203014754042,0.0884961457977237,0.104590333804242,0.0160941880065185,0.971,0.899885384950668,-0.0711146150493318,54.7893528167138,57.8711170068363,3.0817641901225,0.00364867164033607,0.00206820059253144,-0.00158047104780463,3.64867164033607,2.06820059253144,2.89771272492312,2.06820059253144,4.5,7.08213885771479,2.58213885771479,8.9,8.53154906535037,-0.368450934649635,344.061993580052,-320.757255202781,5025.7274398514
GZS120,4000,dual_side_fit_candidate,ok,1,1,1,0.0739603463532744,0.0383238180398407,-0.0356365283134337,0.975,0.364195152702235,-0.610804847297765,60.5542593341781,47.7310859423633,-12.8231733918148,0.0976052039848843,0.120030428919544,0.0224252249346601,0.968,0.914202651288361,-0.0537973487116388,61.096075360252,65.3750050541288,4.27892969387679,0.00540279417721991,0.0026131718863865,-0.00278962229083341,5.40279417721991,2.6131718863865,4.13591330793875,2.6131718863865,5.7,8.36513552235541,2.66513552235541,12.7,10.0771201442256,-2.62287985577441,418.254536524369,-391.360511741441,6350.00768391919
GZS120,5000,dual_side_fit_candidate,ok,1,1,1,0.0744682133997245,0.0401542642450356,-0.0343139491546889,0.983,0.371320409239805,-0.611679590760195,62.6255579111996,50.2838259296931,-12.3417319815065,0.102210406436598,0.127165782973961,0.0249553765373632,0.967,0.866232939808037,-0.100767060191963,63.064208580578,67.9751856894168,4.91097710883884,0.00669518886445536,0.00334102414786148,-0.00335416471659388,6.69518886445536,3.34102414786148,5.44414764547372,3.34102414786148,5.40000000000001,9.51831,4.11830999999999,16.9,11.4663,-5.43369999999999,385.687469023985,-360.340052439129,8118.68867930339
GZS120,6000,dry_priority_only,water_balance_risk,1,1,1,0.0792432811632409,0.0376147544741846,-0.0416285266890563,0.748,0.343235878634177,-0.404764121365823,66.2759243614908,51.3394670964173,-14.9364572650735,0.143475587828236,0.157616203295846,0.0141406154676105,0.969,0.960878923259573,-0.00812107674042695,71.6702021752266,74.4419359524737,2.77173377724706,0.00850238260718465,0.00362293799770195,-0.0048794446094827,8.50238260718465,3.62293799770195,5.02008676556197,3.62293799770195,6.80000000000001,10.5775758839096,3.77757588390961,19.4,12.7423521988329,-6.65764780116712,613.556968110518,-577.003355936401,8803.73933441573
GZS120,7000,dual_side_fit_candidate,ok,1,1,1,0.0688106486255517,0.0343285903157932,-0.0344820583097585,0.682,0.346716171097406,-0.335283828902594,65.0775772208678,51.1575535399115,-13.9200236809563,0.120339683033846,0.151187850139006,0.0308481671051597,0.971,0.95380863289109,-0.0171913671089097,69.5273538504722,74.8161812883396,5.28882743786738,0.00833956812668987,0.00362910279945244,-0.00471046532723743,8.33956812668987,3.62910279945244,7.22088251467883,3.62910279945244,8.79999999999998,11.5646298824584,2.76462988245846,20.4,13.9314138351486,-6.46858616485144,630.580549310974,-598.188331972385,8818.71980266942
GZS120,7500,dry_priority_only,water_balance_risk,1,1,1,0.0585438450031627,0.0304429885281528,-0.0281008564750099,0.683,0.338946573956711,-0.344053426043289,63.5017897907482,50.4292649133152,-13.072524877433,0.11518098034382,0.130434971814073,0.0152539914702528,0.971,0.943492539968669,-0.0275074600313313,70.9213342559388,74.6717761943293,3.75044193839045,0.0076247176441647,0.00350666675111729,-0.00411805089304741,7.6247176441647,3.50666675111729,5.44970030184584,3.50666675111729,9.90000000000001,12.035745989113,2.13574598911297,25.3,14.4989472117389,-10.8010527882611,639.654121776012,-609.946111006608,8521.20020521501
GZS130,4000,dual_side_fit_candidate,ok,1,1,1,0.0958151738231211,0.0929697361640179,-0.00284543765910319,0.732,0.447180071727293,-0.284819928272707,60.3450459783406,59.7377995271569,-0.607246451183734,0.202503550648596,0.182690536629053,-0.0198130140195428,0.948,0.741819124488855,-0.206180875511145,71.7597275617526,69.9317253853299,-1.82800217642266,0.00580179930397393,0.0055824650952305,-0.000219334208743428,5.80179930397393,5.5824650952305,4.35812257662953,5.5824650952305,8,8.36513552235541,0.365135522355411,9.3,10.0771201442256,0.777120144225588,274.388670126158,-238.02591738385,13565.3901814101
GZS130,5000,dual_side_fit_candidate,ok,1,1,1,0.0827694100644076,0.0791471041602071,-0.00362230590420055,0.72,0.43994377609827,-0.28005622390173,60.1811010337706,59.2319785619758,-0.949122471794809,0.172352992243888,0.159421999175098,-0.0129309930687896,0.95,0.730856006147075,-0.219143993852925,71.7092433391997,70.2307604415513,-1.47848289764838,0.00603147123580831,0.00568232833957608,-0.000349142896232228,6.03147123580831,5.68232833957608,4.64899491633325,5.68232833957608,8.7,9.51831,0.818309999999997,10.3,11.4663,1.1663,265.008948813816,-236.054311870364,13808.0578651699
GZS130,6000,dry_priority_only,water_balance_risk,1,1,1,0.0725242162488742,0.0670726304586164,-0.00545158579025778,0.675,0.429265922617297,-0.245734077382703,59.841952957175,58.361986075312,-1.47996688186301,0.155524753762878,0.144739270620663,-0.010785483142215,0.953,0.742912597271794,-0.210087402728206,72.1793510960104,70.7920929125184,-1.38725818349197,0.00612360005018109,0.00549268613325728,-0.00063091391692381,6.12360005018109,5.49268613325728,4.43266681861662,5.49268613325728,10.8,10.5775758839096,-0.222424116090378,11.5,12.7423521988329,1.24235219883287,289.905946624897,-264.117174466242,13347.2273038152
GZS130,7000,dry_priority_only,water_balance_risk,1,1,1,0.0633287554314298,0.0590014367848883,-0.0043273186465415,0.66,0.426899845624095,-0.233100154375905,59.4556545525231,58.0482297431977,-1.40742480932541,0.136964041319801,0.12895986817452,-0.00800417314528093,0.955,0.744210701597224,-0.210789298402776,72.0293409889658,71.045609816142,-0.983731172823809,0.00591547651632206,0.00533115517418543,-0.000584321342136633,5.91547651632206,5.33115517418543,4.39291425250601,5.33115517418543,11.3,11.5646298824584,0.264629882458413,14.3,13.9314138351486,-0.368586164851392,287.179442274346,-265.766554303166,12954.7070732706
GZS130,8000,dual_side_fit_candidate,ok,1,1,1,0.0570306382266143,0.0515746386066424,-0.00545599961997186,0.645,0.421113696916564,-0.223886303083436,59.153181386945,57.2512742992409,-1.90190708770405,0.123579990266031,0.120855724483946,-0.00272426578208478,0.951,0.767751037098794,-0.183248962901206,72.13062687202,71.7516485676174,-0.378978304402636,0.00581849524460301,0.00497636609287629,-0.00084212915172672,5.81849524460301,4.97636609287629,4.60605895748962,4.97636609287629,13.3,12.4938041380699,-0.806195861930142,14.4,15.0507502264951,0.650750226495067,346.711989872814,-325.451821238454,12092.5696056894
GZS130,9000,dual_side_fit_candidate,ok,1,1,1,0.052893078334486,0.0489825223770049,-0.00391055595748106,0.632,0.422542554382054,-0.209457445617946,59.2815357284878,57.8572043543584,-1.42433137412937,0.11733645426921,0.113354842647422,-0.00398161162178842,0.95,0.758395320394995,-0.191604679605005,72.8009529865314,72.2215316075366,-0.579421378994766,0.00581732560485887,0.0051383227730559,-0.000679002831802968,5.81732560485887,5.1383227730559,4.52370609814243,5.1383227730559,14.5,13.3751702265742,-1.12482977342579,15.8,16.1124941684993,0.31249416849926,314.406606051976,-296.667092485806,12486.1243385258
GZS180,5000,dry_priority_only,water_balance_risk,1,1,1,0.156133895778542,0.125906040863224,-0.0302278549153184,0.854,0.462376608840001,-0.391623391159999,66.6261416376739,62.0145088435663,-4.61163279410763,0.219369967562059,0.211351718165515,-0.00801824939654358,0.957,0.626764536848943,-0.330235463151057,70.1900600579695,68.8259219597278,-1.36413809824174,0.0124063479904687,0.00951098869631853,-0.00289535929415017,12.4063479904687,9.51098869631853,8.9230506923473,9.51098869631853,4.9,9.51831,4.61831,7.1,11.4663,4.36630000000001,6.10585623078595,-5.0288828955299,23111.702532054
GZS180,7000,dual_side_fit_candidate,ok,1,1,1,0.132050378639152,0.107643005479973,-0.0244073731591787,0.823,0.449274091960318,-0.373725908039682,66.7726824431985,62.225698702897,-4.54698374030147,0.19042541214965,0.190645370031269,0.00021995788161927,0.954,0.638882323286747,-0.315117676713253,70.5154118177527,69.963467238875,-0.551944578877723,0.013918077596219,0.0106498613681475,-0.00326821622807146,13.918077596219,10.6498613681475,10.6733262453703,10.6498613681475,6.1,11.5646298824585,5.46462988245845,9.9,13.9314138351486,4.03141383514859,-92.6678309639846,79.3598124156846,25879.1631245985
GZS180,8500,dry_priority_only,water_balance_risk,1,1,1,0.114393433360927,0.0899879805274393,-0.0244054528334877,0.796,0.439379156166286,-0.356620843833714,65.8335658313203,60.5835613308823,-5.250004500438,0.177039421946869,0.177875844175578,0.000836422228709277,0.957,0.672669557939954,-0.284330442060046,70.5874914335614,70.3258953430715,-0.261596090489931,0.0142743872539046,0.0103007896438023,-0.00397359761010234,14.2743872539046,10.3007896438023,10.4121817800079,10.3007896438023,7.3,12.9399506278106,5.63995062781057,12.7,15.5882037760552,2.8882037760552,54.5671353445746,-48.2326265356352,25030.9188344395
GZS180,10000,dual_side_fit_candidate,ok,1,1,1,0.0991465319157671,0.0815667823723114,-0.0175797495434557,0.788,0.433295174789374,-0.354704825210626,65.0291653484426,60.6986388687379,-4.33052647970474,0.159247595499496,0.159926662362965,0.000679066863469413,0.957,0.666974568773862,-0.290025431226138,70.3887761522405,70.3399553338332,-0.0488208184073358,0.0138873426860476,0.0105197418773186,-0.00336760080872896,13.8873426860476,10.5197418773186,10.6287196363985,10.5197418773186,9.10000000000001,14.216135596085,5.11613559608498,15.5,17.1255690963406,1.62556909634057,-6.98728019575578,6.2777318754735,25562.9727618843
GZS180,12000,dual_side_fit_candidate,ok,1,1,1,0.0859060653094801,0.0689296247292454,-0.0169764405802347,0.743,0.417262732387837,-0.325737267612163,64.3065581052409,59.6185303086258,-4.68802779661506,0.147878775236514,0.152590720645463,0.00471194540894918,0.952,0.696071521828006,-0.255928478171993,70.5665323302412,71.3350486806892,0.768516350447968,0.0139181548135181,0.0100110758859274,-0.0039070789275907,13.9181548135181,10.0110758859274,10.934948909004,10.0110758859274,11.8,15.7982092455003,3.99820924550025,19.5,19.031425397122,-0.468574602878043,42.7626159430673,-39.2822865168807,24326.9144028036
GZS80P,1425,dry_priority_only,low_flow|water_balance_risk,1,1,1,0.12175260496086,0.0749327084065199,-0.0468198965543401,0.953,0.470896053027982,-0.482103946972018,62.9441639227322,53.6464749146658,-9.29768900806643,0.113043695587517,0.115096744502677,0.00205304891516031,0.967,0.779623581879021,-0.187376418120979,60.5761354164379,60.4870306021883,-0.0891048142495592,0.00321337787762058,0.00190954527292017,-0.00130383260470041,3.21337787762058,1.90954527292017,1.95762747409302,1.90954527292017,2.3,4.60309796226526,2.30309796226526,2.9,5.54515477692175,2.64515477692175,157.627831770879,-137.51745572912,4640.19501319602
GZS80P,2895,dry_priority_only,water_balance_risk,1,1,1,0.104007945584838,0.0708915316339417,-0.0331164139508963,0.797,0.479404381186245,-0.317595618813755,64.9907010548404,57.3041211900111,-7.68657986482934,0.122942235926853,0.135321852938688,0.0123796170118346,0.968,0.843712589818512,-0.124287410181488,65.8737592928763,67.496641645823,1.62288235294666,0.00458312328124234,0.00273779268900218,-0.00184533059224016,4.58312328124234,2.73779268900218,3.32876226109707,2.73779268900218,3.69999999999999,6.93760532066898,3.23760532066899,6.7,8.35743570953107,1.65743570953107,231.102880179514,-209.896841472382,6652.8362342753
GZS80P,3619,dry_priority_only,water_balance_risk,1,1,1,0.0959111924782901,0.0731240444473517,-0.0227871480309384,0.807,0.519495654248985,-0.287504345751015,66.9149345787212,61.4510293581557,-5.46390522056552,0.119776295739995,0.122437770184824,0.00266147444482925,0.969,0.749947933186437,-0.219052066813563,68.5844596600217,69.0577083207893,0.473248660767652,0.00492860722815485,0.00334622191022529,-0.00158238531792956,4.92860722815485,3.34622191022529,3.50705132604904,3.34622191022529,5.90000000000001,7.89430346043281,1.9943034604328,9.2,9.50992894414667,0.309928944146671,107.981879898209,-98.2842987739463,8131.31924184746
GZS80P,4000,dual_side_fit_candidate,ok,1,1,1,0.104789340790404,0.09153285845131,-0.013256482339094,0.815,0.518276517117705,-0.296723482882295,67.6216176919892,64.8138443899698,-2.8077733020194,0.146658193504346,0.143553026727578,-0.00310516677676823,0.93,0.656160957219037,-0.273839042780963,70.4264105529393,70.1541531036266,-0.27225744931269,0.00634502146125389,0.00532495736335262,-0.00102006409790127,6.34502146125389,5.32495736335262,5.12580766608696,5.32495736335262,6.2,8.36513552235541,2.16513552235541,10.2,10.0771201442256,-0.122879855774411,5.47100000613949,-4.77729174405892,12939.6463929469
GZS80P,5000,dual_side_fit_candidate,ok,1,1,1,0.0855627696300452,0.0781307661080775,-0.00743200352196766,0.753,0.498986684896754,-0.254013315103246,65.6572175192149,63.8241456432687,-1.83307187594625,0.128900616792621,0.134206720617421,0.00530610382480026,0.929,0.678764689245455,-0.250235310754545,69.5113938257621,70.8104267302885,1.2990329045264,0.00610150157114661,0.00538651752550665,-0.000714984045639959,6.10150157114661,5.38651752550665,5.82134606769024,5.38651752550665,8.59999999999999,9.51831,0.918310000000007,14.8,11.4663,-3.3337,0,0,13089.2375869812
GZS80P,6000,dual_side_fit_candidate,ok,1,1,1,0.061736417511758,0.0462233251297984,-0.0155130923819596,0.515,0.388358697689635,-0.126641302310365,60.0662615063548,54.3776943162334,-5.68856719012135,0.104221949491113,0.131988505283611,0.0277665557924984,0.95,0.89159643577157,-0.0584035642284298,67.9376622804356,73.1790342916689,5.24137201123332,0.00554155143093625,0.00373647865698905,-0.0018050727739472,5.54155143093625,3.73647865698905,6.5392495558183,3.73647865698905,10.1,10.5775758839096,0.47757588390964,17.5,12.7423521988329,-4.75764780116712,535.083348300101,-502.236537998202,9079.64313648339
