model,flow_slpm,use_level,dry_out_omega_meas_kgpkg,dry_out_omega_sim_kgpkg,dry_out_omega_err_kgpkg,dry_out_pH2O_meas_kPa,dry_out_pH2O_sim_kPa,dry_out_pH2O_err_kPa,wet_out_omega_meas_kgpkg,wet_out_omega_sim_kgpkg,wet_out_omega_err_kgpkg,wet_out_pH2O_meas_kPa,wet_out_pH2O_sim_kPa,wet_out_pH2O_err_kPa,water_transfer_meas_kg_s,water_transfer_sim_kg_s,water_transfer_err_kg_s,dry_side_gain_meas_g_s,dry_side_gain_sim_g_s,dry_side_gain_err_g_s,wet_side_loss_meas_g_s,wet_side_loss_sim_g_s,wet_side_loss_err_g_s
GZS120,1000,dry_priority_only,0.0707303001651057,0.011342929117976,-0.0593873710471297,11.5820273861575,2.01186039540023,-9.57016699075727,0.0690257546915054,0.115215025444236,0.0461892707527308,10.6914530690327,16.5427732413395,5.85132017230678,0.00119901000177569,4.17085951869831e-05,-0.00115730140658871,1.19901000177569,0.0417085951869831,-1.15730140658871,0.869003418754352,0.0568149813232662,-0.812188437431086
GZS120,2049,dual_side_fit_candidate,0.0677816210861983,0.00789703606704771,-0.0598845850191506,13.2300254329157,1.65768750211069,-11.572337930805,0.0775909691976612,0.104180269461397,0.0265893002637359,13.6345667822657,17.3974605728366,3.76289379057087,0.00244002165271905,4.31937282750031e-05,-0.00239682792444405,2.44002165271905,0.0431937282750031,-2.39682792444405,2.12822502466716,1.18641960171178,-0.941805422955378
GZS120,3000,dual_side_fit_candidate,0.0685061484725605,0.00696966162007575,-0.0615364868524848,14.4686689610281,1.58103627108488,-12.8876326899432,0.0884961457977237,0.118433027515386,0.0299368817176628,15.6360294824789,20.0694051499487,4.43337566746984,0.00364867164033607,4.06632407286393e-05,-0.00360800839960743,3.64867164033607,0.0406632407286394,-3.60800839960743,2.89771272492312,1.35473294981934,-1.54297977510378
GZS120,4000,dual_side_fit_candidate,0.0739603463532744,0.00556464884071396,-0.0683956975125604,20.5464493607845,1.68392054017015,-18.8625288206144,0.0976052039848843,0.133707083017846,0.0361018790329617,21.069451756101,27.8540537204712,6.78460196437021,0.00540279417721991,4.87888515604514e-05,-0.00535400532565946,5.40279417721991,0.0487888515604514,-5.35400532565946,4.13591330793875,1.68448520590025,-2.4514281020385
GZS120,5000,dual_side_fit_candidate,0.0744682133997245,0.00647716680018994,-0.0679910465995346,22.6079024853307,2.1281116314385,-20.4797908538922,0.102210406436598,0.151569433557367,0.049359027120769,23.0665068898626,32.9793686002933,9.91286171043073,0.00669518886445536,4.91112439408733e-05,-0.00664607762051449,6.69518886445536,0.0491112439408734,-6.64607762051449,5.44414764547372,1.28439755708902,-4.1597500883847
GZS120,6000,dry_priority_only,0.0792432811632409,0.00719075726010092,-0.07205252390314,26.6738562794087,2.6438124990468,-24.0300437803619,0.143475587828236,0.165736458129194,0.0222608703009579,33.8200766291884,39.2375791434025,5.41750251421406,0.00850238260718465,5.68206975620961e-05,-0.00844556190962256,8.50238260718465,0.056820697562096,-8.44556190962255,5.02008676556197,2.8206246853071,-2.19946208025487
GZS120,7000,dual_side_fit_candidate,0.0688106486255517,0.00815022714235165,-0.0606604214832,25.2751922583008,3.23311248994744,-22.0420797683534,0.120339683033846,0.160390117980724,0.0400504349468783,30.806978496502,40.1536364558399,9.34665795933789,0.00833956812668987,5.29742822801255e-05,-0.00828659384440975,8.33956812668987,0.0529742822801256,-8.28659384440974,7.22088251467883,2.55764468476801,-4.66323782991082
GZS120,7500,dry_priority_only,0.0585438450031627,0.00686750629337059,-0.0516763387097921,23.5319143319912,2.95201888136697,-20.5798954506242,0.11518098034382,0.139998259230189,0.0248172788863689,32.7397155304204,40.3478087637212,7.60809323330081,0.0076247176441647,5.17885783717147e-05,-0.00757292906579299,7.6247176441647,0.0517885783717148,-7.57292906579298,5.44970030184584,2.2885076652799,-3.16119263656594
GZS130,4000,dual_side_fit_candidate,0.0958151738231211,0.021299795770907,-0.0745153780522141,20.3475038078503,5.01535367309078,-15.3321501347595,0.202503550648596,0.272091449936318,0.0695878992877222,33.9512432478431,41.7123961712458,7.76115292340275,0.00580179930397393,5.79477625379544e-05,-0.00574385154143598,5.80179930397393,0.0579477625379545,-5.74385154143598,4.35812257662953,0.0579477625379556,-4.30017481409157
GZS130,5000,dual_side_fit_candidate,0.0827694100644076,0.0207376416736804,-0.0620317683907272,20.1927626597315,5.49940998844556,-14.6933526712859,0.172352992243888,0.229873897248034,0.0575209050041458,33.8772238842758,41.6931567892461,7.81593290497029,0.00603147123580831,5.24203640336695e-05,-0.00597905087177464,6.03147123580831,0.0524203640336696,-5.97905087177464,4.64899491633325,0.0524203640336687,-4.59657455229958
GZS130,6000,dry_priority_only,0.0725242162488742,0.0200288413976731,-0.0524953748512011,19.8758578992512,5.92142184264852,-13.9544360566027,0.155524753762878,0.200134884080562,0.0446101303176843,34.5718472506226,41.6429838956632,7.07113664504065,0.00612360005018109,4.82920862228785e-05,-0.00607530796395821,6.12360005018109,0.0482920862228784,-6.07530796395821,4.43266681861662,0.0482920862228779,-4.38437473239374
GZS130,7000,dry_priority_only,0.0633287554314298,0.0198509696363561,-0.0434777857950737,19.5201060305924,6.49934465112651,-13.0207613794659,0.136964041319801,0.17405938875061,0.0370953474308086,34.3488873434127,41.5655896087589,7.21670226534624,0.00591547651632206,4.46358817388812e-05,-0.00587084063458318,5.91547651632206,0.044635881738881,-5.87084063458318,4.39291425250601,0.044635881738881,-4.34827837076713
GZS130,8000,dual_side_fit_candidate,0.0570306382266143,0.0196061906967139,-0.0374244475299004,19.2453812007195,6.99911454318837,-12.2462666575311,0.123579990266031,0.157156283792795,0.0335762935267644,34.4992935313138,41.7145843086322,7.21529077731839,0.00581849524460301,4.20618781434292e-05,-0.00577643336645958,5.81849524460301,0.042061878143429,-5.77643336645958,4.60605895748962,0.042061878143429,-4.56399707934619
GZS130,9000,dual_side_fit_candidate,0.052893078334486,0.0196214272197145,-0.0332716511147715,19.3615521931177,7.55938183020868,-11.802170362909,0.11733645426921,0.146381140093461,0.0290446858242505,35.5089365217859,42.4241435365099,6.915207014724,0.00581732560485887,4.02582079658753e-05,-0.005777067396893,5.81732560485887,0.0402582079658755,-5.77706739689299,4.52370609814243,0.040258207965875,-4.48344789017655
GZS180,5000,dry_priority_only,0.156133895778542,0.0271583353942439,-0.128975560384298,27.0949120865219,5.43491064922439,-21.6600014372975,0.219369967562059,0.340345915637036,0.120975948074977,31.7132980315928,41.3631844398507,9.64988640825786,0.0124063479904687,5.24913068551415e-05,-0.0123538566836136,12.4063479904687,0.0524913068551416,-12.3538566836136,8.9230506923473,0.0524913068551403,-8.87055938549216
GZS180,7000,dual_side_fit_candidate,0.132050378639152,0.0284520463944593,-0.103598332244693,27.2727735423207,6.54765820723577,-20.7251153350849,0.19042541214965,0.290045416193661,0.0996200040440114,32.1665176272101,42.2426056992867,10.0760880720766,0.013918077596219,4.59681957071166e-05,-0.0138721094005119,13.918077596219,0.0459681957071167,-13.8721094005119,10.6733262453703,0.0459681957071176,-10.6273580496632
GZS180,8500,dry_priority_only,0.114393433360927,0.0269787001045026,-0.0874147332564244,26.1500334602795,6.73717439824808,-19.4128590620314,0.177039421946869,0.254908091650463,0.0778686697035945,32.2676701983649,41.3748119773494,9.10714177898446,0.0142743872539046,4.18721874825341e-05,-0.0142325150664221,14.2743872539046,0.0418721874825339,-14.2325150664221,10.4121817800079,0.0418721874825348,-10.3703095925254
GZS180,10000,dual_side_fit_candidate,0.0991465319157671,0.0268514439934598,-0.0722950879223073,25.2200335349021,7.3507990112166,-17.8692345236855,0.159247595499496,0.22523846588192,0.0659908703824235,31.9894595362617,41.1655870008324,9.17612746457072,0.0138873426860476,3.8397002693217e-05,-0.0138489456833544,13.8873426860476,0.0383970026932171,-13.8489456833544,10.6287196363985,0.0383970026932162,-10.5903226337053
GZS180,12000,dual_side_fit_candidate,0.0859060653094801,0.0255864006335106,-0.0603196646759695,24.4088880163161,7.75877456207406,-16.650113454242,0.147878775236514,0.203466927495113,0.0555881522585987,32.2382293875545,41.3576379361788,9.11940854862435,0.0139181548135181,3.57576372097562e-05,-0.0138823971763083,13.9181548135181,0.0357576372097563,-13.8823971763083,10.934948909004,0.0357576372097546,-10.8991912717942
GZS80P,1425,dry_priority_only,0.12175260496086,0.00885646738860071,-0.112896137572259,22.9402160990399,1.92725939574293,-21.012956703297,0.113043695587517,0.155745175655227,0.0427014800677105,20.5673478832991,26.1653913627471,5.59804347944799,0.00321337787762058,6.94652262841238e-05,-0.00314391265133646,3.21337787762058,0.0694652262841238,-3.14391265133646,1.95762747409302,0.957563062654924,-1.0000644114381
GZS80P,2895,dry_priority_only,0.104007945584838,0.0227478187886992,-0.0812601267961388,25.1762822219444,6.0622792102954,-19.114003011649,0.122942235926853,0.167095748931404,0.044153513004551,26.1972624261828,33.1555433337926,6.95828090760975,0.00458312328124234,5.51028823980979e-05,-0.00452802039884424,4.58312328124234,0.055102882398098,-4.52802039884424,3.32876226109707,1.22099247614806,-2.10776978494901
GZS80P,3619,dry_priority_only,0.0959111924782901,0.0256885085363409,-0.0702226839419492,27.4463839990467,8.03758265436175,-19.4088013446849,0.119776295739995,0.174680944422342,0.0549046486823467,29.5556520403551,39.937640348267,10.3819883079119,0.00492860722815485,5.22030417037908e-05,-0.00487640418645106,4.92860722815485,0.0522030417037908,-4.87640418645106,3.50705132604904,0.18923529713861,-3.31781602891043
GZS80P,4000,dual_side_fit_candidate,0.104789340790404,0.0230856366339613,-0.0817037041564427,28.3229305530938,6.92527673313847,-21.3976538199553,0.146658193504346,0.225675169097535,0.0790169755931888,32.041991696562,44.6082884176687,12.5662967211067,0.00634502146125389,5.80583632264221e-05,-0.00628696309802747,6.34502146125389,0.0580583632264222,-6.28696309802747,5.12580766608696,0.0580583632264226,-5.06774930286054
GZS80P,5000,dual_side_fit_candidate,0.0855627696300452,0.0226808838079337,-0.0628818858221115,25.9436771478615,7.4861504717264,-18.4575266761351,0.128900616792621,0.19930189172204,0.0704012749294193,30.7854272427897,44.191260561465,13.4058333186753,0.00610150157114661,5.20500350068839e-05,-0.00604945153613973,6.10150157114661,0.0520500350068838,-6.04945153613973,5.82134606769024,0.0520500350068842,-5.76929603268336
GZS80P,6000,dual_side_fit_candidate,0.061736417511758,0.0145587205049595,-0.0471776970067985,20.0849727860515,5.05640766005864,-15.0285651259929,0.104221949491113,0.15194062606651,0.0477186765753968,28.7226204064031,40.0939349161314,11.3713145097283,0.00554155143093625,5.20478356675369e-05,-0.00548950359526871,5.54155143093625,0.0520478356675368,-5.48950359526871,6.5392495558183,1.72250098117876,-4.81674857463954
