case_id,stop_time_s,is_steady,dV_cell_30s,dp_ca_in_30s_kPa,dT_stack_30s_C,dRH_ca_in_30s,current_A,current_density_A_cm2,pH2O_caIn_meas_kPa,pH2O_caIn_sim_kPa,pH2O_caIn_err_kPa,xH2O_caIn_meas,xH2O_caIn_sim,xH2O_caIn_err,RH_ca_in_meas,RH_ca_in_sim,RH_ca_in_err,omega_ca_in_meas_kgpkg,omega_ca_in_sim_kgpkg,omega_ca_in_err_kgpkg,T_stack_meas_C,T_stack_sim_C,T_stack_err_C,V_cell_meas,V_cell_sim,V_cell_err,Q_cool_sim_W,Q_cool_bench_W,Q_cool_err_W,p_ca_in_meas_kPa,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,pressure_order_ok,lambda_O2_actual,hum_transfer_sim_kg_s,RH_hum_dry_out,RH_hum_wet_out,model_name
bench_j0p10,120,1,0.000389411827732888,0,0.276369133696399,0.00830561157688825,38,0.1,15.1041914495239,18.8635830280609,3.75939157853698,0.106875580750213,0.125635509449578,0.018759928699365,0.8,0.78824677838249,-0.0117532216175101,0.0747290078005827,0.0897310160507531,0.0150020082501705,61.1,61.887387340422,0.787387340421979,0.80165625,0.817545766577598,0.0158895165775981,240.827000517304,-383.166666666667,623.993667183971,141.325,150.145314097138,138.902408912515,133.825,1,4.91459241694795,8.50885457037209e-05,0.78824677838249,0.148365530780074,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p20,120,1,0.000202178977242062,0,0.122396953786861,0.00147489634066611,76,0.2,12.6001255467509,20.7848734195266,8.18474787277573,0.0806537080925004,0.126060841592587,0.0454071335000863,0.6,0.800694323096354,0.200694323096354,0.054785786720762,0.0900786139838852,0.0352928272631232,63.9,63.6191249533188,-0.280875046681224,0.7726375,0.791739253710789,0.019101753710789,350.641317714604,585.199999999996,-234.558682285392,156.225,164.87969742976,151.112253055363,145.925,1,3.54997721868071,0.000123460064041388,0.800694323096354,0.198095647300124,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p30,120,1,5.7516899011345e-06,0,0.00284486332489564,3.32195799293e-05,114,0.3,13.2502512187837,17.0235929395022,3.7733417207185,0.0821338987682236,0.100222617783229,0.0180887190150049,0.6,0.617310746963706,0.0173107469637065,0.055881209825274,0.0695590051908886,0.0136777953656146,65.35,65.0320666271288,-0.317933372871224,0.75044375,0.765046077981947,0.0146023279819466,528.40182674689,794.199999999996,-265.798173253106,161.325,169.857795735514,154.641432370577,147.425,1,2.9731471227948,0.000115395855114714,0.617310746963706,0.398940217023071,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p40,120,1,0.000354105953831785,0,0.153829147683084,0.00209155045873521,152,0.4,14.1826668764259,19.2116717328496,5.02900485642378,0.0827339470697148,0.106780206478174,0.0240462594084589,0.6,0.647199434505527,0.0471994345055269,0.0563262859019873,0.0746543485500106,0.0183280626480233,67.6,66.7441871994643,-0.855812800535716,0.73384375,0.739216355200495,0.00537260520049476,705.423122622414,1421.2,-715.776877377582,171.425,179.917911441542,162.305217011416,157.525,1,2.38807659696766,0.00013414199192745,0.647199434505527,0.455316292161225,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p60,300,1,5.29479438502456e-05,0,0.0184513883466764,0.000226565938968859,228,0.6,17.5507092844266,19.8878911395765,2.33718185514995,0.0917324410527981,0.0995995551319042,0.00786711407910616,0.6,0.533528590101955,-0.066471409898045,0.0630713083465451,0.0690787372050694,0.00600742885852429,72.9,72.1872309759309,-0.712769024069104,0.7102375,0.699497059696081,-0.0107404403039192,1577.68709510543,2173.6,-595.912904894567,191.325,199.678513756794,179.517896054214,174.825,1,1.98429552984753,0.000152791329127622,0.533528590101955,0.571549825957087,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p70,300,1,8.80401416335497e-05,0,0.0264245100711946,0.000285924816862293,266,0.7,20.5016941338125,20.1044211015818,-0.397273032230633,0.101833821600956,0.095913961835215,-0.00591985976574098,0.6,0.469041584595286,-0.130958415404714,0.070804039746134,0.0662513542331553,-0.00455268551297873,76.2,75.5006266440179,-0.699373355982132,0.701175,0.688438728503368,-0.0127362714966321,1923.26952661455,2508,-584.730473385451,201.325,209.608911121013,188.698540796952,183.325,1,1.8802306717326,0.000160835478870934,0.469041584595286,0.585242732059171,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p90,300,1,0.000135267618585067,0,0.0304710564576425,0.000298244621347699,342,0.9,22.3153867427077,19.0134221274438,-3.30196461526392,0.100826326635978,0.0828634709933498,-0.0179628556426278,0.6,0.405327770935565,-0.194672229064435,0.0700249898095114,0.056422434592003,-0.0136025552175084,78.65,77.7864136907917,-0.863586309208259,0.68263125,0.658958673085255,-0.0236725769147452,2747.37940617845,3469.4,-722.02059382155,221.325,229.454811625858,207.253442167278,200.225,1,1.79201883121889,0.000162698859344411,0.405327770935565,0.659752549669428,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p10,300,1,0.000117395193879988,0,0.022336522031722,0.000199317394738663,418,1.1,22.5987996002102,17.4333512234811,-5.16544837672918,0.0936446683941169,0.0699338171827769,-0.0237108512113399,0.6,0.352628836965768,-0.247371163034232,0.0645219158489714,0.0469565382620857,-0.0175653775868856,79.5,79.3048972313383,-0.195102768661741,0.6660375,0.621481677204003,-0.044555822795997,3717.6204543359,3894.36666666666,-176.746212330767,241.325,249.283564458062,226.646213994781,216.225,1,1.79251825121533,0.000158420808427453,0.352628836965768,0.739927585352062,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p30,300,1,6.5077264236324e-05,0,0.0107152580693537,8.59248076113817e-05,494,1.3,18.6746015215954,15.5561376231972,-3.11846389839819,0.074304591750106,0.0600327374397698,-0.0142718543103362,0.5,0.302831908725129,-0.197168091274871,0.0501268293237177,0.039883945233977,-0.0102428840897407,80.45,80.4959099712402,0.045909971240178,0.646875,0.581807918255006,-0.0650670817449935,4802.70074125162,4754.75,47.9507412516186,251.325,259.127574164088,235.764442067933,221.225,1,1.78830007309157,0.000151115992131041,0.302831908725129,0.8009343877774,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p50,300,1,2.04066523753488e-05,0,0.00290035349111406,2.0460874963657e-05,570,1.5,17.3810721984241,13.1481971739764,-4.23287502444767,0.069185280917202,0.0507891419334158,-0.0183961389837861,0.45,0.253908604709393,-0.196091395290607,0.046416582173903,0.0334141848056287,-0.0130023973682744,80.6,80.583312110472,-0.0166878895280433,0.62398125,0.533841733048271,-0.0901395169517292,6064.91331644759,6086.08000000001,-21.1666835524129,251.225,258.878112003026,233.53538199289,213.825,1,1.79048061762986,0.000136883784844552,0.253908604709393,0.791662700578608,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p70,300,1,1.07070141979193e-05,0,0.00135619038104551,8.42968397340993e-06,646,1.7,15.4498419541547,11.4263934228871,-4.02344853126758,0.0614491079015799,0.0441285485081686,-0.0173205593934113,0.4,0.215920563138812,-0.184079436861188,0.0408865482303065,0.0288298806089353,-0.0120566676213712,80.65,81.2264413811693,0.576441381169275,0.60195,0.486901642296686,-0.115048357703314,7421.50465214632,6618.33333333333,803.171318812985,251.425,258.934268385737,231.146624129927,205.725,1,1.79621983471834,0.000125265468826138,0.215920563138812,0.789726902439254,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p80,120,1,0.00333389360102837,0,0.390184260694994,0.00236540148597569,684,1.8,15.5796576423336,10.7294454863039,-4.85021215602966,0.0620147582538903,0.041479359238651,-0.0205353990152394,0.4,0.205260775565393,-0.194739224434607,0.041287799964113,0.0270242258408452,-0.0142635741232678,80.35,80.8211319819234,0.471131981923449,0.59018125,0.455252833021458,-0.134928416978542,7919.24339373834,7191.69,727.553393738338,251.225,258.669508961607,228.975571026404,201.225,1,1.79201883121889,0.000119689078903598,0.205260775565393,0.780175299773491,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p90,120,1,0.00320445907897771,0,0.357932796599357,0.00203275846059459,722,1.9,15.7761088432364,10.1107669445248,-5.66534189871161,0.0627717451237896,0.0390824798838694,-0.0236892652399202,0.4,0.190199597018429,-0.209800402981571,0.0418255366429823,0.0253991213681892,-0.016426415274793,80.5,81.2609692687385,0.760969268738535,0.57885625,0.428038041823017,-0.150818208176983,8749.27509562971,7530.96666666667,1218.30842896304,251.325,258.703310909855,226.778864783576,196.025,1,1.79242362426864,0.000114361181859744,0.190199597018429,0.76339532039665,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
