case_id,case_mode,stop_time_s,is_steady,dV_cell_30s,dp_ca_in_30s_kPa,dT_stack_30s_C,dRH_ca_in_30s,egr_fraction_cmd,current_A,current_density_A_cm2,flow_lambda_from_nlpm,cathode_stoich_table,flow_lambda_minus_table,V_cell_meas,V_cell_sim,p_ca_in_meas_kPa,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_meas_kPa,p_ca_out_boundary_kPa,p_ca_out_boundary_error_kPa,pO2_in_meas_kPa,pO2_in_sim_kPa,RH_ca_in_meas,RH_ca_in_sim,T_stack_meas_C,T_stack_sim_C,lambda_O2_actual,xO2_ca_in,eta_act_V,eta_ohm_V,eta_con_V,E_rev_V,RH_hum_dry_out,RH_hum_wet_out,m_fresh_basis_kg_s,m_fresh_actual_kg_s,m_egr_used_kg_s,m_comp_total_kg_s,m_comp_total_error_kg_s,r_EGR_actual,m_wet_out_kg_s,m_vent_out_kg_s,humidifier_dry_T_C,humidifier_wet_T_C,fresh_node_m_kg_s,egr_node_m_kg_s,vent_node_m_kg_s,V_cell_err,p_ca_in_err_kPa,p_stack_margin_in_kPa,p_stack_margin_out_kPa,pO2_in_err_kPa,RH_ca_in_err,T_stack_err_C,pressure_order_ok,lambda_safe_ok,lambda_unacceptable,RH_ok,T_stack_ok,V_cell_ok,voltage_terms_ok,physical_ok,model_name,stage_weight
bench_j0p10,no_egr,120,1,4.17474530587381e-05,0,0.0279278206507101,9.23967687167515e-05,0,38,0.1,4.91459241694795,5,-0.0854075830520529,0.80165625,0.813259578045733,141.325,141.324743356619,137.89827283114,133.825,133.825,0,26.4432593913247,25.9880379937121,0.8,0.760678580761937,61.1,60.9714960386117,4.3594506903346,0.183888803732931,0.364881655349647,0.0183329428660147,5.77053767160106e-05,1.19653188163811,0.760678580761937,0.0604966271845595,0.00107669014690974,0.00107669014690974,0,0.00107669014690974,0,0,0.000900432948293215,0.000900432948293215,62.8340652978316,60.0375201539628,0.00107669014690974,0,0.000900432948293215,0.0116033280457326,-0.000256643381305821,3.42647052547917,4.07327283113952,-0.455221397612632,-0.0393214192380629,-0.128503961388283,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1.5
bench_j0p20,no_egr,120,1,0.00018727291234466,0,0.110172608978075,0.00052610937597608,0,76,0.2,3.54997721868071,3.6,-0.0500227813192899,0.7726375,0.781376199809156,156.225,156.225368460145,151.303811270445,145.925,145.925,0,30.0894111979557,29.3788927235918,0.6,0.611209723888698,63.9,64.4076241155132,3.17688349164279,0.188054558700475,0.374527916603609,0.0395079847937741,8.38177015670244e-05,1.19549591890811,0.611209723888698,0.294529006582107,0.00155545980982132,0.00155545980982132,0,0.00155545980982132,0,0,0.00131601986286272,0.00131601986286272,65.9842241829862,62.6230473430989,0.00155545980982132,0,0.00131601986286272,0.00873869980915587,0.000368460145438121,4.92155718970076,5.37881127044466,-0.710518474363901,0.0112097238886982,0.507624115513174,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1.5
bench_j0p30,no_egr,120,1,0.000541612073229114,0,0.270380398260826,0.00167225539246446,0,114,0.3,2.9731471227948,3,-0.026852877205199,0.75044375,0.752656076170162,161.325,161.32583023639,154.852552787953,147.425,147.425,0,31.0216598696648,30.7792823261515,0.6,0.499163002169999,65.35,66.5979400947121,2.81187204350745,0.190789548586552,0.379427949861319,0.0633767173672884,0.000121746143874138,1.19558248954264,0.499163002169999,0.456776338687224,0.00195407346582009,0.00195407346582009,0,0.00195407346582009,0,0,0.00176290135257522,0.00176290135257522,68.2109120122016,63.686163234655,0.00195407346582009,0,0.00176290135257522,0.00221232617016154,0.000830236389873562,6.47327744843736,7.42755278795249,-0.242377543513285,-0.100836997830001,1.24794009471213,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1.5
bench_j0p40,no_egr,120,1,0.00104783868404801,0,0.438073844888137,0.00447556984039887,0,152,0.4,2.38807659696766,2.4,-0.0119234030323359,0.73384375,0.729005867272429,171.425,171.42648664778,163.914130779977,157.525,157.525,0,32.9422687893888,32.4256505971522,0.6,0.504556902433696,67.6,69.6266818912124,2.38807659696766,0.189151928801851,0.381243707152938,0.0835560995114693,0.000176837628223078,1.19398251156506,0.504556902433696,0.540652797490642,0.00209272169399358,0.00209272169399358,0,0.00209272169399358,0,0,0.00198320450673199,0.00198320450673199,71.3014894203161,65.123792250644,0.00209272169399358,0,0.00198320450673199,-0.00483788272757135,0.00148664777950103,7.51235586780268,6.38913077997682,-0.516618192236557,-0.095443097566304,2.02668189121245,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1.5
bench_j0p60,no_egr,300,1,0.00103947160764895,0,0.451861781618817,0.002954327726293,0,228,0.6,1.98429552984753,2,-0.015704470152472,0.7102375,0.703159433962208,191.325,191.329362563259,182.2029359276,174.825,174.825,0,36.4057139049126,35.8789184787056,0.6,0.408561796913059,72.9,80.0475532750705,1.96013658719279,0.187524371575968,0.370528811737978,0.112292187848932,0.000373090005701925,1.18635352355482,0.408561796913059,0.65236785464114,0.00260831979251374,0.00260831979251374,0,0.00260831979251374,0,0,0.00244535387664897,0.00244535387664897,80.8791936921495,70.7669165339087,0.00260831979251374,0,0.00244535387664897,-0.00707806603779171,0.00436256325903628,9.12642663565904,7.37793592759999,-0.526795426207016,-0.191438203086941,7.14755327507045,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1
bench_j0p70,no_egr,300,0,0.00125698811109076,0,0.542930545095416,0.00199170031061735,0,266,0.7,1.8802306717326,1.9,-0.019769328267399,0.701175,0.698548276156556,201.325,201.332254764111,191.454699326435,183.325,183.325,0,37.8824825789663,37.6625015697867,0.6,0.368912281452582,76.2,84.8427542901203,1.81551444796887,0.187066407287365,0.365349521052177,0.117055568878233,0.000541917383356879,1.18149528347032,0.368912281452582,0.652522103692325,0.0028834498702955,0.0028834498702955,0,0.0028834498702955,0,0,0.00264637176602438,0.00264637176602438,85.2570582404369,74.7839630057397,0.0028834498702955,0,0.00264637176602438,-0.00262672384344431,0.0072547641111953,9.8775554376758,8.1296993264354,-0.219981009179619,-0.231087718547418,8.64275429012032,1,1,0,1,1,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1
bench_j0p90,no_egr,300,0,0.00176679908793143,0,0.738271125904447,0.00179007764558853,0,342,0.9,1.79201883121889,1.8,-0.00798116878110866,0.68263125,0.687330068451939,221.325,221.335051680422,209.791180856219,200.225,200.225,0,41.6925139774027,41.5577727721123,0.6,0.330980336783586,78.65,90.6203918463941,1.65426606729357,0.187759563867526,0.360420180272673,0.128026377879464,0.00114333109801461,1.17691995770209,0.330980336783586,0.708065174934415,0.00353336343985873,0.00353336343985873,0,0.00353336343985873,0,0,0.00310295692084875,0.00310295692084875,89.7144234623047,78.1036152979143,0.00353336343985873,0,0.00310295692084875,0.00469881845193931,0.0100516804223219,11.5438708242034,9.56618085621889,-0.134741205290382,-0.269019663216414,11.9703918463941,1,1,0,1,0,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1
bench_j1p10,no_egr,300,0,0.00231661620822299,0,0.952983586741098,0.00138104225771518,0,418,1.1,1.79251825121533,1.8,-0.00748174878467056,0.6660375,0.668124110503534,241.325,241.336628715982,228.052469872885,216.225,216.225,0,45.8231389837559,45.6344832083641,0.6,0.305515502648508,79.5,95.2792416464884,1.56470653468195,0.18909058045254,0.35573807174066,0.148356899975047,0.00241218687540501,1.17463126909465,0.305515502648508,0.758776559972046,0.00431975885903023,0.00431975885903023,0,0.00431975885903023,0,0,0.00359284774359515,0.00359284774359515,92.4592960345646,80.3169117602292,0.00431975885903023,0,0.00359284774359515,0.0020866105035342,0.0116287159819422,13.2841588430968,11.8274698728851,-0.188655775391808,-0.294484497351492,15.7792416464884,1,1,0,1,0,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1
bench_j1p30,no_egr,300,0,0.00255021014463985,0,1.17452802427213,5.82730770032347e-05,0,494,1.3,1.78830007309157,1.8,-0.0116999269084317,0.646875,0.649340251183136,251.325,251.33754370937,236.603254459317,221.225,221.225,0,48.7402584812258,47.8232448825685,0.5,0.27279337459189,80.45,100.253065758725,1.47448002276294,0.190274975146046,0.351642854317371,0.164713000581286,0.00508920428385116,1.17078531036564,0.27279337459189,0.791649534208843,0.00509315600681047,0.00509315600681047,0,0.00509315600681047,0,0,0.00402337597972327,0.00402337597972327,95,82.5152176170748,0.00509315600681047,0,0.00402337597972327,0.00246525118313645,0.012543709369595,14.7342892500529,15.3782544593167,-0.917013598657284,-0.22720662540811,19.803065758725,1,1,0,1,0,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1
bench_j1p50,no_egr,300,0,0.00256067563892259,0,1.4052670215861,0.00579604588647828,0,570,1.5,1.79048061762986,1.8,-0.00951938237013761,0.62398125,0.627862595224111,251.225,251.239731062881,235.071594291329,213.825,213.825,0,48.9903028744302,48.2436041685206,0.45,0.247904720775421,80.6,104.816630654933,1.4105623063034,0.192022193163573,0.348218278474107,0.179782103195068,0.0107371449976986,1.16660012189099,0.247904720775421,0.767119820254402,0.00588388418311239,0.00588388418311239,0,0.00588388418311239,0,0,0.00449081085165498,0.00449081085165498,95,85.298190493425,0.00588388418311239,0,0.00449081085165498,0.00388134522411121,0.0147310628811397,16.1681367715517,21.2465942913295,-0.74669870590953,-0.202095279224579,24.216630654933,1,1,0,1,0,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1
bench_j1p70,no_egr,300,0,0.00224807911883407,0,1.64920152293068,0.00637844388650563,0,646,1.7,1.79621983471834,1.8,-0.00378016528165959,0.60195,0.604041940169668,251.425,251.440867118879,233.910492660127,205.725,205.725,0,49.4367956106046,48.6380877876713,0.4,0.228012722476876,80.65,109.654378487888,1.35590212306736,0.193437480330816,0.344033431641055,0.1913701724547,0.022653105725668,1.16209864999109,0.228012722476876,0.741338042077748,0.00668977700937078,0.00668977700937078,0,0.00668977700937078,0,0,0.00495048723453972,0.00495048723453972,95,87.7051505381294,0.00668977700937078,0,0.00495048723453972,0.00209194016966785,0.0158671188788446,17.5303744587517,28.1854926601272,-0.798707822933245,-0.171987277523124,29.0043784878876,1,1,0,1,0,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1
bench_j1p80,no_egr,300,0,0.00196933890378259,0,1.78449969914239,0.00673619441116302,0,684,1.8,1.79201883121889,1.8,-0.00798116878110866,0.59018125,0.58868564046545,251.225,251.241690461676,233.08572383471,201.225,201.225,0,49.3676992239311,48.7474099582859,0.4,0.219485072771571,80.35,112.058962413444,1.32888193893472,0.194025959102205,0.342190135962908,0.196011855484588,0.0329038880488494,1.1597915199618,0.219485072771571,0.721844755596145,0.00706672687971745,0.00706672687971745,0,0.00706672687971745,0,0,0.00516799284145974,0.00516799284145974,95,89.0074952716774,0.00706672687971745,0,0.00516799284145974,-0.00149560953454997,0.016690461675978,18.1559666269659,31.86072383471,-0.620289265645191,-0.180514927228429,31.7089624134438,1,1,0,1,0,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1
bench_j1p90,no_egr,300,0,0.00134197849379392,0,1.93308560546365,0.00729962951677676,0,722,1.9,1.79242362426864,1.8,-0.00757637573136449,0.57885625,0.570880865510066,251.325,251.342712008775,232.628797911652,196.025,196.025,0,49.347492697342,48.8996230903253,0.4,0.212086573353235,80.5,115.038577628227,1.29991753129743,0.194553574677025,0.339576768373017,0.198545651918593,0.0477932633980716,1.15679654919975,0.212086573353235,0.694879947798794,0.00746100777858581,0.00746100777858581,0,0.00746100777858581,0,0,0.0053773109998,0.0053773109998,95,90.6786213431583,0.00746100777858581,0,0.0053773109998,-0.00797538448993429,0.0177120087752201,18.7139140971227,36.6037979116525,-0.447869607016656,-0.187913426646765,34.5385776282265,1,1,0,1,0,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,1
