case_id,stop_time_s,is_steady,dV_cell_30s,dp_ca_in_30s_kPa,dT_stack_30s_C,dRH_ca_in_30s,current_A,current_density_A_cm2,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,Q_cool_bench_W,h_cool_bench_est_W_K,T_stack_meas_C,T_stack_sim_C,T_stack_err_C,Q_cool_sim_W,Q_cool_err_W,p_ca_in_meas_kPa,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,pressure_order_ok,RH_ca_in_meas,RH_ca_in_sim,RH_ca_in_err,V_cell_meas,V_cell_sim,V_cell_err,h_cool_fallback_W_K,h_amb_W_K,T_cool_boundary_C,Q_gen_W,Q_amb_W,Q_gas_W,lambda_O2_actual,model_name
bench_j0p10,120,1,0.000442578251559467,0,0.276263321956925,0.0019208631135228,38,0.1,5.5,61.6,60.6,-383.166666666667,NaN,61.1,61.8880378512002,0.788037851200215,241.370584396273,624.53725106294,141.325,148.106544197872,139.106522639532,133.825,1,0.8,0.750053270935783,-0.0499467290642174,0.80165625,0.816426838695379,0.0147705886953786,836,9,61.6,266.04448207321,331.998487152591,0,4.91459241694795,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p20,120,1,0.000229311027467149,0,0.121216259437105,0.0010953531847685,76,0.2,6,63.2,64.6,585.199999999996,836,63.9,63.6319534492097,-0.268046550790316,361.363474464245,-223.836525535752,156.225,162.924504741811,152.852766060799,145.925,1,0.6,0.606018383276197,0.00601838327619664,0.7726375,0.781735240953438,0.00909774095343796,836,9,63.2,574.27394700062,347.690276638969,0,3.54997721868071,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p30,120,1,1.19514185120684e-05,0,0.00535503096847378,5.25834622515653e-05,114,0.3,6,64.4,66.3,794.199999999996,836.000000000006,65.35,65.0604851107069,-0.289514889293116,552.154498046499,-242.045501953497,161.325,167.961500302165,155.667168462329,147.425,1,0.6,0.515261709508613,-0.0847382904913867,0.75044375,0.750354640248911,-8.91097510885563e-05,836,9,64.4,918.649136185986,360.544246988539,0,2.9731471227948,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p40,120,1,0.000392606050399036,0,0.157622340706013,0.00187197102463776,152,0.4,6,65.9,69.3,1421.2,836.000000000004,67.6,66.7883776308228,-0.811622369177229,742.358551717539,-678.841448282458,171.425,178.040446833205,163.32979354196,157.525,1,0.6,0.55428477229732,-0.0457152277026798,0.73384375,0.722145510599928,-0.0116982394000716,836,9,65.9,1293.47011822097,376.091898284041,0,2.38807659696766,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p60,300,1,5.63295867791469e-05,0,0.0185936625844221,0.000211892040595629,228,0.6,6,70.3,75.5,2173.6,835.999999999998,72.9,72.2645189791643,-0.635481020835684,1642.29958094852,-531.300419051483,191.325,197.865284544343,180.034651205307,174.825,1,0.6,0.496569202640684,-0.103430797359316,0.7102375,0.681552594628459,-0.0286849053715409,836,9,70.3,2088.28813479538,425.380258646575,0,1.98429552984753,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p70,300,1,9.24299348175062e-05,0,0.0265563351414926,0.000276994589092638,266,0.7,6,73.2,79.2,2508,836,76.2,75.5877034855287,-0.612296514471268,1996.06550761857,-511.934492381425,201.325,207.826886470614,188.942148970744,183.325,1,0.6,0.452621287862882,-0.147378712137118,0.701175,0.671117578591882,-0.0300574214081184,836,9,73.2,2480.74758551295,455.288743503071,0,1.8802306717326,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p90,300,1,0.00013990481065207,0,0.0305881722851211,0.000310165527701745,342,0.9,6,74.5,82.8,3469.4,835.999999999999,78.65,77.8851543883111,-0.764845611688898,2829.92640619329,-639.473593806707,221.325,227.739964726473,206.90031788929,200.225,1,0.6,0.419546584373636,-0.180453415626364,0.68263125,0.643688980155656,-0.0389422698443436,836,9,74.5,3339.62190058825,475.96571489921,0,1.79201883121889,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p10,300,1,0.000120473146339006,0,0.022373021684416,0.00022034646908492,418,1.1,6.5,75.2,83.8,3894.36666666666,905.666666666667,79.5,79.3944149462058,-0.105585053794186,3798.69360143362,-95.6730652330402,241.325,247.640505012328,225.755003466516,216.225,1,0.6,0.389378027217323,-0.210621972782677,0.6660375,0.609234327509021,-0.0568031724909794,836,9,75.2,4312.19281761967,489.549255516639,0,1.79251825121533,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p30,300,1,6.635635420571e-05,0,0.0107054130530173,9.90862782003776e-05,494,1.3,7.5,75.9,85,4754.75,1045,80.45,80.5655517596619,0.115551759661912,4875.47644258634,120.726442586341,251.325,257.547487580244,234.544905163792,221.225,1,0.5,0.350591504169643,-0.149408495830357,0.646875,0.572522934587871,-0.0743520654121286,836,9,75.9,5386.39472501746,500.089749266294,0,1.78830007309157,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p50,300,1,2.06996726077602e-05,0,0.0028917914314377,2.42811351037764e-05,570,1.5,9.1,75.8,85.4,6086.08000000001,1267.93333333334,80.6,80.6345400332457,0.0345400332456904,6129.8669328342,43.7869328341912,251.225,257.356352524796,232.225143463312,213.825,1,0.45,0.304055535701563,-0.145944464298437,0.62398125,0.526670064609959,-0.0973111853900407,836,9,75.8,6633.24901075717,500.71080687379,0,1.79048061762986,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p70,300,1,1.08260095867951e-05,0,0.00135132746316913,1.02131200873101e-05,646,1.7,10,75.9,85.4,6618.33333333333,1393.33333333333,80.65,81.2785717406292,0.628571740629198,7494.1396345361,875.806301202771,251.425,257.4668990358,229.83213845116,205.725,1,0.4,0.264800423157739,-0.135199576842261,0.60195,0.479829336627466,-0.122120663372534,836,9,75.9,8001.82797661851,506.507122041262,0,1.79621983471834,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p80,120,1,0.00338374849824247,0,0.390874755813087,0.00290150729834165,684,1.8,11.1,75.7,85,7191.69,1546.6,80.35,80.8830053621447,0.533005362144706,8014.93535099375,823.245350993756,251.225,257.226093507154,227.694657818706,201.225,1,0.4,0.253702568029212,-0.146297431970788,0.59018125,0.446420612700785,-0.143760637299215,836,9,75.7,8838.14881460261,502.940642802886,0,1.79201883121889,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p90,120,1,0.00325218253410164,0,0.359111792237925,0.00250967261536195,722,1.9,11.5,75.8,85.2,7530.96666666667,1602.33333333333,80.5,81.3490605415146,0.849060541514646,8890.42380797214,1359.45714130547,251.325,257.284050949761,225.545895256073,196.025,1,0.4,0.236483730406047,-0.163516269593953,0.57885625,0.415681078286194,-0.163175171713806,836,9,75.8,9684.26018363789,507.135810862336,0,1.79242362426864,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
