case_id,case_mode,stop_time_s,is_steady,dV_cell_30s,dp_ca_in_30s_kPa,dT_stack_30s_C,dRH_ca_in_30s,egr_fraction_cmd,current_A,current_density_A_cm2,flow_lambda_from_nlpm,cathode_stoich_table,flow_lambda_minus_table,V_cell_meas,V_cell_sim,p_ca_in_meas_kPa,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_meas_kPa,p_ca_out_sim_kPa,p_ca_out_boundary_error_kPa,pO2_in_meas_kPa,pO2_in_sim_kPa,RH_ca_in_meas,RH_ca_in_sim,T_stack_meas_C,T_stack_sim_C,lambda_O2_actual,xO2_ca_in,eta_act_V,eta_ohm_V,eta_con_V,E_rev_V,RH_hum_dry_out,RH_hum_wet_out,m_fresh_basis_kg_s,m_fresh_actual_kg_s,m_egr_used_kg_s,m_comp_total_kg_s,m_comp_total_error_kg_s,r_EGR_actual,m_wet_out_kg_s,m_vent_out_kg_s,humidifier_dry_T_C,humidifier_wet_T_C,fresh_node_m_kg_s,egr_node_m_kg_s,vent_node_m_kg_s,V_cell_err,p_ca_in_err_kPa,p_stack_margin_in_kPa,p_stack_margin_out_kPa,pO2_in_err_kPa,RH_ca_in_err,T_stack_err_C,pressure_order_ok,lambda_safe_ok,lambda_unacceptable,RH_ok,T_stack_ok,V_cell_ok,voltage_terms_ok,physical_ok,model_name,stage_weight
bench_j0p10,no_egr,120,1,6.02652132530856e-07,0,0.0348770770643938,0.000156796518490196,0,38,0.1,4.91459241694795,5,-0.0854075830520529,0.80165625,0.82228125807747,141.325,141.32494981112,138.856773252392,133.825,133.825,0,26.4432593913247,29.0395101308928,0.8,0.116087663124219,61.1,61.2559067460257,4.91459241694795,0.205480420617194,0.34686974019557,0.0230774716036797,3.13983939855726e-06,1.19223160971612,0.116087663124219,0.685578328908372,0.00107669014690974,0.00107669014690974,0,0.00107669014690974,0,0,0.00108441430415632,0.00108441430415632,63.4524249740003,59.7033691130589,0.00107669014690974,0,0.00108441430415632,0.0206250080774699,-5.01888800386041e-05,2.46817655872837,5.03177325239159,2.59625073956808,-0.683912336875781,0.155906746025686,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1.5
bench_j0p20,no_egr,120,1,0.000315086179321966,0,0.196564597377602,0.000837338219232375,0,76,0.2,3.54997721868071,3.6,-0.0500227813192899,0.7726375,0.769830071732361,156.225,156.225080165451,153.221115807904,145.925,145.925,0,30.0894111979557,32.0972995121948,0.6,0.111223287303497,63.9,64.7781699850367,3.54997721868071,0.20545548434478,0.386863507492602,0.0339088441232086,7.4357089897029e-06,1.19060985905716,0.111223287303497,0.887632421848402,0.00155545980982132,0.00155545980982132,0,0.00155545980982132,0,0,0.0015723046551085,0.0015723046551085,66.7909044371326,62.1866301947881,0.00155545980982132,0,0.0015723046551085,-0.00280742826763858,8.0165450668801e-05,3.00396435754698,7.29611580790367,2.00788831423911,-0.488776712696503,0.878169985036671,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1.5
bench_j0p30,no_egr,120,1,0.00107886817248704,0,0.381715972339407,0.00150939165649362,0,114,0.3,2.9731471227948,3,-0.026852877205199,0.75044375,0.731623538408212,161.325,161.325192981461,156.613155792299,147.425,147.425,0,31.0216598696648,33.1506912658133,0.6,0.103872705738248,65.35,67.0501082731063,2.9731471227948,0.205489859662668,0.412768445968719,0.0449338728855064,1.41111172994096e-05,1.18933996837974,0.103872705738248,0.995430471554365,0.00195407346582009,0.00195407346582009,0,0.00195407346582009,0,0,0.00198025503984991,0.00198025503984991,68.8865421657129,63.4623309704199,0.00195407346582009,0,0.00198025503984991,-0.0188202115917879,0.000192981461509589,4.7120371891626,9.18815579229889,2.12903139614848,-0.496127294261752,1.7001082731063,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1.5
bench_j0p40,no_egr,300,1,0.00137089431087678,0,0.385700238098892,0.00130626096205283,0,152,0.4,2.38807659696766,2.4,-0.0119234030323359,0.73384375,0.701026369475286,171.425,171.42535253538,167.401448447681,157.525,157.525,0,32.9422687893888,35.1990540962802,0.6,0.0919313518020085,67.6,72.8712775562938,2.38807659696766,0.205331671049156,0.426654139570722,0.0566581193961452,2.68915661237668e-05,1.18436552000828,0.0919313518020085,1,0.00209272169399358,0.00209272169399358,0,0.00209272169399358,0,0,0.00208569660217917,0.00208569660217917,74.0595238635116,65.6105042112079,0.00209272169399358,0,0.00208569660217917,-0.0328173805247145,0.000352535379846586,4.02390408769841,9.87644844768144,2.2567853068914,-0.508068648197991,5.27127755629384,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1.5
bench_j0p60,no_egr,300,0,0.00256458521313052,0,0.694473026858816,0.00175058319776047,0,228,0.6,1.98429552984753,2,-0.015704470152472,0.7102375,0.639235245817939,191.325,191.326103224365,187.164478551181,174.825,174.825,0,36.4057139049126,39.2790293429994,0.6,0.0726925174090859,72.9,82.1602579037396,1.98429552984753,0.205298851965524,0.443574615877607,0.0941041880698947,0.000103117586132502,1.17701716735157,0.0726925174090859,1,0.00260831979251374,0.00260831979251374,0,0.00260831979251374,0,0,0.00258676952045682,0.00258676952045682,82.6743039513475,71.0837006972966,0.00260831979251374,0,0.00258676952045682,-0.0710022541820614,0.00110322436512433,4.16162467318395,12.3394785511812,2.87331543808679,-0.527307482590914,9.2602579037396,1,1,0,1,1,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j0p70,no_egr,300,0,0.00161060952225778,0,0.860194269844172,0.00178403681262351,0,266,0.7,1.8802306717326,1.9,-0.019769328267399,0.701175,0.611701719351051,201.325,201.326889639653,196.97569991689,183.325,183.325,0,37.8824825789663,41.3347861780262,0.6,0.0621253028383789,76.2,87.6919646725223,1.8802306717326,0.205311800385978,0.447163132182978,0.113073439227834,0.000107607804219848,1.17204589856608,0.0621253028383789,1,0.0028834498702955,0.0028834498702955,0,0.0028834498702955,0,0,0.00288944631641909,0.00288944631641909,87.9158020864103,74.9733768387783,0.0028834498702955,0,0.00288944631641909,-0.0894732806489493,0.00188963965271682,4.35118972276257,13.6506999168901,3.45230359905992,-0.537874697161621,11.4919646725223,1,1,0,1,1,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j0p90,no_egr,300,0,0.000202478647720716,0,1.18683350131522,0.00202770658005099,0,342,0.9,1.79201883121889,1.8,-0.00798116878110866,0.68263125,0.578312783797001,221.325,221.327777708204,216.970631001017,200.225,200.225,0,41.6925139774027,45.4547100493702,0.6,0.053169170977315,78.65,94.6992562159701,1.79201883121889,0.205372820890549,0.453936443307835,0.134142533945727,0.000114968471186286,1.16650672952175,0.053169170977315,1,0.00353336343985873,0.00353336343985873,0,0.00353336343985873,0,0,0.0035270416102596,0.0035270416102596,94.1711090539808,77.7243133624672,0.00353336343985873,0,0.0035270416102596,-0.104318466202999,0.00277770820360956,4.35714670718659,16.745631001017,3.76219607196744,-0.546830829022685,16.0492562159701,1,1,0,1,0,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j1p10,no_egr,300,0,0.000742906398471854,0,1.53393387019523,3.44702792531848e-07,0,418,1.1,1.79251825121533,1.8,-0.00748174878467056,0.6660375,0.545453128943733,241.325,241.328406099127,236.691702926512,216.225,216.225,0,45.8231389837559,49.5848305960551,0.6,0.0549581783297074,79.5,100.466186344962,1.79251825121533,0.205466200177396,0.456719646041373,0.160920608270797,0.000120875392063445,1.16321425864797,0.0549581783297074,1,0.00431975885903023,0.00431975885903023,0,0.00431975885903023,0,0,0.00428309407454376,0.00428309407454376,95,78.8441867720142,0.00431975885903023,0,0.00428309407454376,-0.120584371056267,0.00340609912666423,4.63670317261514,20.4667029265115,3.76169161229911,-0.545041821670293,20.9661863449617,1,1,0,1,0,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j1p30,no_egr,300,0,0.00171646053213381,0,1.88308608905231,2.44975259114377e-06,0,494,1.3,1.78830007309157,1.8,-0.0116999269084317,0.646875,0.513642603733506,251.325,251.32885331232,245.353143911154,221.225,221.225,0,48.7402584812258,51.6623028132713,0.5,0.055953014974317,80.45,106.818905408619,1.78830007309157,0.205556593015096,0.459234179934771,0.185051771328003,0.000125809171088955,1.15805436416737,0.055953014974317,1,0.00509315600681047,0.00509315600681047,0,0.00509315600681047,0,0,0.00505133443746126,0.00505133443746126,95,79.8128490132048,0.00509315600681047,0,0.00505133443746126,-0.133232396266494,0.00385331232016028,5.97570940116591,24.1281439111542,2.92204433204558,-0.444046985025683,26.3689054086194,1,1,0,1,0,1,1,0,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j1p50,no_egr,300,0,0.00198654472246557,0,2.24890441119452,3.58485940595704e-06,0,570,1.5,1.79048061762986,1.8,-0.00951938237013761,0.62398125,0.480510473198232,251.225,251.229718924275,241.694684515929,213.825,213.825,0,48.9903028744302,51.6673079736453,0.45,0.0544979303780726,80.6,112.92173023589,1.79048061762986,0.205657627588314,0.46286283693809,0.20845684598715,0.000130045553941086,1.15196020167741,0.0544979303780726,0.907733018901943,0.00588388418311239,0.00588388418311239,0,0.00588388418311239,0,0,0.00600966491688894,0.00600966491688894,95,85.9145013804578,0.00588388418311239,0,0.00600966491688894,-0.143470776801768,0.00471892427506759,9.53503440834584,27.8696845159293,2.67700509921514,-0.395502069621927,32.3217302358905,1,1,0,1,0,0,1,0,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j1p70,no_egr,300,0,0.00189082148188147,0,2.62502237973649,4.88637230490474e-06,0,646,1.7,1.79621983471834,1.8,-0.00378016528165959,0.60195,0.449785471805156,251.425,251.430275200811,237.410106972208,205.725,205.725,0,49.4367956106046,51.7284136408066,0.4,0.0534202360072465,80.65,119.178728232558,1.79621983471834,0.205736614651885,0.465321981902391,0.23041460814047,0.000133757499266618,1.14565581934728,0.0534202360072465,0.700850051966349,0.00668977700937078,0.00668977700937078,0,0.00668977700937078,0,0,0.00683401755018124,0.00683401755018124,95,92.1702919087017,0.00668977700937078,0,0.00683401755018124,-0.152164528194844,0.00527520081067223,14.0201682286022,31.6851069722084,2.29161803020205,-0.346579763992754,38.5287282325581,1,1,0,1,0,0,1,0,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j1p80,no_egr,300,0,0.00664001214440291,0,2.80311946163322,3.52258482512469e-06,0,684,1.8,1.79201883121889,1.8,-0.00798116878110866,0.59018125,0.439646965885466,251.225,251.230637864079,234.69670921252,201.225,201.225,0,49.3676992239311,51.6951150426796,0.4,0.0529389252979382,80.35,122.080829820254,1.79201883121889,0.20576755877461,0.466922184470337,0.236323973335056,0.000135454477840609,1.1430285781687,0.0529389252979382,0.625137437234752,0.00706672687971745,0.00706672687971745,0,0.00706672687971745,0,0,0.00722003376825757,0.00722003376825757,95,95,0.00706672687971745,0,0.00722003376825757,-0.150534284114534,0.0056378640784942,16.5339286515583,33.4717092125202,2.32741581874852,-0.347061074702062,41.7308298202542,1,1,0,1,0,0,1,0,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j1p90,no_egr,300,0,0.00568489626435953,0,2.95940391277098,1.20983095797805e-06,0,722,1.9,1.79242362426864,1.8,-0.00757637573136449,0.57885625,0.430066915702141,251.325,251.331078018269,231.361663875632,196.025,196.025,0,49.347492697342,51.7236549600824,0.4,0.0525156354071003,80.5,125.437184141192,1.79242362426864,0.205798882366321,0.46778448794273,0.242207794383088,0.00013706066439551,1.14019625869235,0.0525156354071003,0.616032346281945,0.00746100777858581,0.00746100777858581,0,0.00746100777858581,0,0,0.00762302900604838,0.00762302900604838,95,95,0.00746100777858581,0,0.00762302900604838,-0.148789334297859,0.00607801826944865,19.969414142637,35.3366638756324,2.37616226274046,-0.3474843645929,44.9371841411917,1,1,0,1,0,0,1,0,CEGR_Vehicle_10kW_GZS60_v03_audit,1
